,Start time Range,End time Range,Number value,Counts,AVG Time,AVG Rating,AVG Rank Count,AVG Calories
0,1,32,1,3138,18,95.53,58,367
1,33,64,2,2352,46,95.23,64,455
2,65,128,3,1172,81,95.47,67,609
3,129,256,4,528,178,95.53,63,623
4,257,512,5,230,396,94.87,64,508
5,513,1024,6,84,662,95.22,79,668
6,1025,2048,7,49,1496,96.24,78,606
7,2049,4096,8,5,2779,96.36,57,219
8,4097,8192,9,4,4697,96.35,47,447
9,8193,16384,10,3,10166,94.19,39,360
10,16385,32768,11,1,20190,98.6,106,727
11,32769,65536,12,0,0,0.0,0,0
12,65537,131072,13,2,100817,99.0,22,2320
